,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,text,modified_text_A,modified_text_B,modified_text_C,modified_text_D,modified_text_E,location_original,location_A,location_B,location_C,location_D,location_E,all_locations
65,65,65,65,65,65,65,65,Hwy 52 crash south of Preston has closed highway. Detour: All Fillmore County roads Hwy 52 NB CR 22 to CR 17 back to 52 Preston - SB CR 12 to CR 21 back to Hwy 52 Canton,Highway 52 crash south of Preston has closed highway. Detour: All Fillmore County roads Highway 52 Nouthbound CR 22 to CR 17 back to 52 Preston - Southbound CR 12 to CR 21 back to Highway 52 Canton,At Highway 52 crash south of Preston has closed highway. Detour: All Fillmore County roads Highway 52 Nouthbound CR 22 to CR 17 back to 52 Preston - Southbound CR 12 to CR 21 back to Highway 52 Canton,At Highway 52 crash south of Preston has closed highway. Detour: All Fillmore County roads Highway 52 Nouthbound CR 22 to CR 17 back to 52 Preston - Southbound CR 12 to CR 21 back to Highway 52 Canton,At Highway 52 crash south of Preston has closed highway. Detour: All Fillmore County roads Highway 52 Nouthbound CR 22 to CR 17 back to 52 Preston - Southbound CR 12 to CR 21 back to Highway 52 Canton,At Highway 52 crash south of Preston has closed highway. Detour: All Fillmore County roads Highway 52 Nouthbound CR 22 to CR 17 back to 52 Preston - Southbound CR 12 to CR 21 back to Highway 52 Canton,,"{'Fillmore County', 'Highway 52', 'Highway 52 Canton'}","{'Highway 52', 'Fillmore County', 'Preston', 'Highway 52 Canton'}","{'Highway 52', 'Fillmore County', 'Preston', 'Highway 52 Canton'}","{'Highway 52', 'Fillmore County', 'Preston', 'Highway 52 Canton'}","{'Highway 52', 'Fillmore County', 'Preston', 'Highway 52 Canton'}","{'Preston', 'Highway 52', 'Fillmore County', 'Highway 52 Canton'}"
66,66,66,66,66,66,66,66,Road alert: Hwy 52 closed south of Preston for a crash. Will update with detour route. Seek alternate routes.,Road alert: Highway 52 closed south of Preston for a crash. Will update with detour route. Seek alternate routes.,At Road alert: Highway 52 closed south of Preston for a crash. Will update with detour route. Seek alternate routes.,At Road alert: Highway 52 closed south of Preston for a crash. Will update with detour route. Seek alternate routes.,At Road alert: Highway 52 closed south of Preston for a crash. Will update with detour route. Seek alternate routes.,At Road alert: Highway 52 closed south of Preston for a crash. Will update with detour route. Seek alternate routes.,,,,,,,set()
67,67,67,67,67,67,67,67,Give us a listen. We're on @KROC1340 to talk about current construction projects in SE Minnesota and upcoming projects near #rochmn . We also have a reminder for drivers to not go past road closed barricades. Listen live at http:// krocam.com/listen-live/po pup/ …,Give us a listen. We're on @KROC1340 to talk about current construction projects at SE Minnesota and upcoming projects near . We also have a reminder for drivers to not go past road closed barricades. Listen live at http:// krocam.com/listen-live/po pup/ …,At Give us a listen. We're on @KROC1340 to talk about current construction projects at SE Minnesota and upcoming projects near . We also have a reminder for drivers to not go past road closed barricades. Listen live at http:// krocam.com/listen-live/po pup/ …,At Give us a listen. We're on @KROC1340 to talk about current construction projects at SE Minnesota and upcoming projects near . We also have a reminder for drivers to not go past road closed barricades. Listen live at http:// krocam.com/listen-live/po pup/ …,At Give us a listen. We're on @KROC1340 to talk about current construction projects at SE Minnesota and upcoming projects near #rochmn . We also have a reminder for drivers to not go past road closed barricades. Listen live at http:// krocam.com/listen-live/po pup/ …,At Give us a listen. We're on @KROC1340 to talk about current construction projects at SE Minnesota and upcoming projects near . We also have a reminder for drivers to not go past road closed barricades. Listen live at http:// krocam.com/listen-live/po pup/ …,{'Minnesota'},{'Minnesota'},{'Minnesota'},{'Minnesota'},{'Minnesota'},{'Minnesota'},{'Minnesota'}
68,68,68,68,68,68,68,68,Construction alert: Highway 63 is closed to through traffic between #rochmn and Zumbro Falls. Local traffic will also see impact Wednesday morning as culvert work begins. Remember stay out of Road Closed areas for your safety and that of our workers. #MnDOT pic.twitter.com/4Nm09KsxXu,Construction alert: Highway 63 is closed to through traffic at and Zumbro Falls. Local traffic will also see impact Wednesday morning as culvert work begins. Remember stay out of Road Closed areas for your safety and that of our workers. pic.twitter.com/4Nm09KsxXu,At Construction alert: Highway 63 is closed to through traffic and Zumbro Falls. Local traffic will also see impact Wednesday morning as culvert work begins. Remember stay out of Road Closed areas for your safety and that of our workers. pic.twitter.com/4Nm09KsxXu,At Construction alert: Highway 63 is closed to through traffic and Zumbro Falls. Local traffic will also see impact Wednesday morning as culvert work begins. Remember stay out of Road Closed areas for your safety and that of our workers. pic.twitter.com/4Nm09KsxXu,At Construction alert: Highway 63 is closed to through traffic #rochmn and Zumbro Falls. Local traffic will also see impact Wednesday morning as culvert work begins. Remember stay out of Road Closed areas for your safety and that of our workers. #MnDOT pic.twitter.com/4Nm09KsxXu,At Construction alert: Highway 63 is closed to through traffic at and Zumbro Falls. Local traffic will also see impact Wednesday morning as culvert work begins. Remember stay out of Road Closed areas for your safety and that of our workers. pic.twitter.com/4Nm09KsxXu,,,,,,,set()
69,69,69,69,69,69,69,69,Hwy 63 north of #rochmn is detoured as construction began today on the repaving of the highway to Zumbro Falls. Check project page for detour information. Do not proceed past Road Closed signs. It is dangerous for you and the workers. pic.twitter.com/Gg7R4r4yKy,Highway 63 north of is detoured as construction began today on the repaving of the highway to Zumbro Falls. Check project page for detour information. Do not proceed past Road Closed signs. It is dangerous for you and the workers. pic.twitter.com/Gg7R4r4yKy,At Highway 63 north of is detoured as construction began today on the repaving of the highway to Zumbro Falls. Check project page for detour information. Do not proceed past Road Closed signs. It is dangerous for you and the workers. pic.twitter.com/Gg7R4r4yKy,At Highway 63 north of is detoured as construction began today on the repaving of the highway to Zumbro Falls. Check project page for detour information. Do not proceed past Road Closed signs. It is dangerous for you and the workers. pic.twitter.com/Gg7R4r4yKy,At Highway 63 north of #rochmn is detoured as construction began today on the repaving of the highway to Zumbro Falls. Check project page for detour information. Do not proceed past Road Closed signs. It is dangerous for you and the workers. pic.twitter.com/Gg7R4r4yKy,At Highway 63 north of is detoured as construction began today on the repaving of the highway to Zumbro Falls. Check project page for detour information. Do not proceed past Road Closed signs. It is dangerous for you and the workers. pic.twitter.com/Gg7R4r4yKy,,,{'Highway 63'},{'Highway 63'},{'Highway 63'},{'Highway 63'},{'Highway 63'}
70,70,70,70,70,70,70,70,Here’s a look a current road conditions. I-90 west of Blue Earth closed due to storm. I-35 northbound near Faribault shut down due to crash. Multiple crashes reported in region. Difficult driving conditions expected through Monday morning. pic.twitter.com/j4cLmP5XqI,Here’s a look a current road conditions. Interstate 90 west of Blue Earth closed due to storm. Interstate 35 northbound near Faribault shut down due to crash. Multiple crashes reported at region. Difficult driving conditions expected through Monday morning. pic.twitter.com/j4cLmP5XqI,At Here’s a look a current road conditions. Interstate 90 west of Blue Earth closed due to storm. Interstate 35 northbound near Faribault shut down due to crash. Multiple crashes reported at region. Difficult driving conditions expected through Monday morning. pic.twitter.com/j4cLmP5XqI,At Here’s a look a current road conditions. Interstate 90 west of Blue Earth closed due to storm. Interstate 35 Northbound near Faribault shut down due to crash. Multiple crashes reported at region. Difficult driving conditions expected through Monday morning. pic.twitter.com/j4cLmP5XqI,At Here’s a look a current road conditions. Interstate 90 west of Blue Earth closed due to storm. Interstate 35 Northbound near Faribault shut down due to crash. Multiple crashes reported at region. Difficult driving conditions expected through Monday morning. pic.twitter.com/j4cLmP5XqI,At Here’s a look a current road conditions. Interstate 90 west of Blue Earth closed due to storm. Interstate 35 northbound near Faribault shut down due to crash. Multiple crashes reported at region. Difficult driving conditions expected through Monday morning. pic.twitter.com/j4cLmP5XqI,,{'Interstate 35'},{'Interstate 35'},{'Interstate 35 Northbound'},{'Interstate 35 Northbound'},{'Interstate 35'},"{'Interstate 35 Northbound', 'Interstate 35'}"
71,71,71,71,71,71,71,71,"Many SE Minnesota schools are closed today because of weather conditions. Check with your local school to be certain. Stay home, if you can. Roads are icy. Snow is accumulating now as temperatures drop http://www. 511mn.org","Many SE Minnesota schools are closed today because of weather conditions. Check with your local school to be certain. Stay home, if you can. Roads are icy. Snow is accumulating now as temperatures drop http://www. 511mn.org","At Many SE Minnesota schools are closed today because of weather conditions. Check with your local school to be certain. Stay home, if you can. Roads are icy. Snow is accumulating now as temperatures drop http://www. 511mn.org","At Many SE Minnesota schools are closed today because of weather conditions. Check with your local school to be certain. Stay home, if you can. Roads are icy. Snow is accumulating now as temperatures drop http://www. 511mn.org","At Many SE Minnesota schools are closed today because of weather conditions. Check with your local school to be certain. Stay home, if you can. Roads are icy. Snow is accumulating now as temperatures drop http://www. 511mn.org","At Many SE Minnesota schools are closed today because of weather conditions. Check with your local school to be certain. Stay home, if you can. Roads are icy. Snow is accumulating now as temperatures drop http://www. 511mn.org",{'Minnesota'},{'Minnesota'},,,,,{'Minnesota'}
72,72,72,72,72,72,72,72,"Tractor-trailer fire on westbound I-90 near the St. Charles exit has closed both westbound lanes. Eastbound remains open. Detour is at exit 233 north to Hwy 14, west to Dover, south on Olmsted 10 to I-90 exit 229. Slow down, watch for emergency responders https:// hb.511mn.org/#roadReports/e ventAlbum/MSPCAD-9288609?timeFrame=TODAY&layers=roadReports%2CwinterDriving%2CvoxReports%2CweatherWarnings%2Ccameras%2Crwis%2CimagePlows%2ClocationPlows …","Tractor-trailer fire on westbound Interstate 90 near the St. Charles exit has closed both westbound lanes. Eastbound remains open. Detour is at exit 233 north to Highway 14, west to Dover, south on Olmsted 10 to Interstate 90 exit 229. Slow down, watch for emergency responders https:// hb.511mn.org/#roadReports/e ventAlbum/MSPCAD-9288609?timeFrame=TODAY&layers=roadReports%2CwinterDriving%2CvoxReports%2CweatherWarnings%2Ccameras%2Crwis%2CimagePlows%2ClocationPlows …","At Tractor-trailer fire on westbound Interstate 90 near the St. Charles exit has closed both westbound lanes. Eastbound remains open. Detour is at exit 233 north to Highway 14, west to Dover, south on Olmsted 10 to Interstate 90 exit 229. Slow down, watch for emergency responders https:// hb.511mn.org/#roadReports/e ventAlbum/MSPCAD-9288609?timeFrame=TODAY&layers=roadReports%2CwinterDriving%2CvoxReports%2CweatherWarnings%2Ccameras%2Crwis%2CimagePlows%2ClocationPlows …","At Tractor-trailer fire on Westbound Interstate 90 near the St. Charles exit has closed both Westbound lanes. Eastbound remains open. Detour is at exit 233 north to Highway 14, west to Dover, south on Olmsted 10 to Interstate 90 exit 229. Slow down, watch for emergency responders https:// hb.511mn.org/#roadReports/e ventAlbum/MSPCAD-9288609?timeFrame=TODAY&layers=roadReports%2CwinterDriving%2CvoxReports%2CweatherWarnings%2Ccameras%2Crwis%2CimagePlows%2ClocationPlows …","At Tractor-trailer fire on Westbound Interstate 90 near the St. Charles exit has closed both Westbound lanes. Eastbound remains open. Detour is at exit 233 north to Highway 14, west to Dover, south on Olmsted 10 to Interstate 90 exit 229. Slow down, watch for emergency responders https:// hb.511mn.org/#roadReports/e ventAlbum/MSPCAD-9288609?timeFrame=TODAY&layers=roadReports%2CwinterDriving%2CvoxReports%2CweatherWarnings%2Ccameras%2Crwis%2CimagePlows%2ClocationPlows …","At Tractor-trailer fire on westbound Interstate 90 near the St. Charles exit has closed both westbound lanes. Eastbound remains open. Detour is at exit 233 north to Highway 14, west to Dover, south on Olmsted 10 to Interstate 90 exit 229. Slow down, watch for emergency responders https:// hb.511mn.org/#roadReports/e ventAlbum/MSPCAD-9288609?timeFrame=TODAY&layers=roadReports%2CwinterDriving%2CvoxReports%2CweatherWarnings%2Ccameras%2Crwis%2CimagePlows%2ClocationPlows …","{'St. Charles', 'Dover'}","{'St. Charles', 'Dover', 'Interstate 90 exit 229', 'Highway 14', 'Interstate 90'}","{'St. Charles', 'Dover', 'Interstate 90 exit 229', 'Highway 14', 'Interstate 90'}","{'St. Charles', 'Dover', 'Westbound Interstate 90', 'Interstate 90 exit 229', 'Highway 14'}","{'St. Charles', 'Dover', 'Westbound Interstate 90', 'Interstate 90 exit 229', 'Highway 14'}","{'St. Charles', 'Dover', 'Interstate 90 exit 229', 'Highway 14', 'Interstate 90'}","{'St. Charles', 'Dover', 'Westbound Interstate 90', 'Interstate 90 exit 229', 'Highway 14', 'Interstate 90'}"
73,73,73,73,73,73,73,73,Hwy 52 motorists be alert! Hwy 52 southbound between Pine Island and Oronoco. Left lane closed for road patching until 3 pm today. #rochmn,Highway 52 motorists be alert! Highway 52 southbound at Pine Island and Oronoco. Left lane closed for road patching until 3 pm today. ,At Highway 52 motorists be alert! Highway 52 southbound Pine Island and Oronoco. Left lane closed for road patching until 3 pm today. ,At Highway 52 motorists be alert! Highway 52 Southbound Pine Island and Oronoco. Left lane closed for road patching until 3 pm today. ,At Highway 52 motorists be alert! Highway 52 Southbound Pine Island and Oronoco. Left lane closed for road patching until 3 pm today. #rochmn,At Highway 52 motorists be alert! Highway 52 southbound at Pine Island and Oronoco. Left lane closed for road patching until 3 pm today. ,"{'Oronoco', 'Pine Island'}","{'Oronoco', 'Pine Island'}","{'Highway 52', 'Oronoco'}","{'Highway 52', 'Oronoco'}","{'Highway 52', 'Oronoco'}","{'Highway 52', 'Oronoco', 'Pine Island'}","{'Highway 52', 'Oronoco', 'Pine Island'}"
74,74,74,74,74,74,74,74,West Hwy 52 #rochmn frontage road from 3rd St. SW to 6th St. SW closed for 2 days for concrete repairs Aug. 1 http:// dot.state.mn.us/d6/newsrels/17 /07/27hwy52.html …,West Highway 52 frontage road from 3rd St. SW to 6th St. SW closed for 2 days for concrete repairs Aug. 1 http:// dot.state.mn.us/d6/newsrels/17 /07/27hwy52.html …,At West Highway 52 frontage road from 3rd St. SW to 6th St. SW closed for 2 days for concrete repairs Aug. 1 http:// dot.state.mn.us/d6/newsrels/17 /07/27hwy52.html …,At West Highway 52 frontage road from 3rd St. SW to 6th St. SW closed for 2 days for concrete repairs Aug. 1 http:// dot.state.mn.us/d6/newsrels/17 /07/27hwy52.html …,At West Highway 52 #rochmn frontage road from 3rd St. SW to 6th St. SW closed for 2 days for concrete repairs Aug. 1 http:// dot.state.mn.us/d6/newsrels/17 /07/27hwy52.html …,At West Highway 52 frontage road from 3rd St. SW to 6th St. SW closed for 2 days for concrete repairs Aug. 1 http:// dot.state.mn.us/d6/newsrels/17 /07/27hwy52.html …,{'West Hwy'},{'West Highway'},"{'West Highway', '3rd St. SW'}","{'West Highway', '3rd St. SW'}",{'West Highway'},"{'West Highway', '3rd St. SW'}","{'West Hwy', 'West Highway', '3rd St. SW'}"
75,75,75,75,75,75,75,75,Hwy 44 closed southwest of Hokah is closed for law enforcement. Detour is Houston County Road 20 south to Hwy 76 north.,Highway 44 closed southwest of Hokah is closed for law enforcement. Detour is Houston County Road 20 south to Highway 76 north.,At Highway 44 closed southwest of Hokah is closed for law enforcement. Detour is Houston County Road 20 south to Highway 76 north.,At Highway 44 closed southwest of Hokah is closed for law enforcement. Detour is Houston County Road 20 south to Highway 76 north.,At Highway 44 closed southwest of Hokah is closed for law enforcement. Detour is Houston County Road 20 south to Highway 76 north.,At Highway 44 closed southwest of Hokah is closed for law enforcement. Detour is Houston County Road 20 south to Highway 76 north.,{'Houston County Road'},"{'Highway', 'Houston County Road'}","{'Highway', 'Houston County Road', 'Highway 44'}","{'Highway', 'Houston County Road', 'Highway 44'}","{'Highway', 'Houston County Road', 'Highway 44'}","{'Highway', 'Houston County Road', 'Highway 44'}","{'Highway', 'Houston County Road', 'Highway 44'}"
76,76,76,76,76,76,76,76,"Hwy 42 is closed, detoured at Hwy 61 near Kellogg for a bridge replacement project. Businesses remain open on route https:// hb.511mn.org/#roadReports/e ventAlbum/CARS4-8152?timeFrame=TODAY&layers=allReports%2CroadReports%2CweatherWarnings%2Cflooding%2CtrafficSelectAll%2CgoogleTraffic%2Ccameras%2Crwis …","Highway 42 is closed, detoured at Highway 61 near Kellogg for a bridge replacement project. Businesses remain open on route https:// hb.511mn.org/#roadReports/e ventAlbum/CARS4-8152?timeFrame=TODAY&layers=allReports%2CroadReports%2CweatherWarnings%2Cflooding%2CtrafficSelectAll%2CgoogleTraffic%2Ccameras%2Crwis …","At Highway 42 is closed, detoured at Highway 61 near Kellogg for a bridge replacement project. Businesses remain open on route https:// hb.511mn.org/#roadReports/e ventAlbum/CARS4-8152?timeFrame=TODAY&layers=allReports%2CroadReports%2CweatherWarnings%2Cflooding%2CtrafficSelectAll%2CgoogleTraffic%2Ccameras%2Crwis …","At Highway 42 is closed, detoured at Highway 61 near Kellogg for a bridge replacement project. Businesses remain open on route https:// hb.511mn.org/#roadReports/e ventAlbum/CARS4-8152?timeFrame=TODAY&layers=allReports%2CroadReports%2CweatherWarnings%2Cflooding%2CtrafficSelectAll%2CgoogleTraffic%2Ccameras%2Crwis …","At Highway 42 is closed, detoured at Highway 61 near Kellogg for a bridge replacement project. Businesses remain open on route https:// hb.511mn.org/#roadReports/e ventAlbum/CARS4-8152?timeFrame=TODAY&layers=allReports%2CroadReports%2CweatherWarnings%2Cflooding%2CtrafficSelectAll%2CgoogleTraffic%2Ccameras%2Crwis …","At Highway 42 is closed, detoured at Highway 61 near Kellogg for a bridge replacement project. Businesses remain open on route https:// hb.511mn.org/#roadReports/e ventAlbum/CARS4-8152?timeFrame=TODAY&layers=allReports%2CroadReports%2CweatherWarnings%2Cflooding%2CtrafficSelectAll%2CgoogleTraffic%2Ccameras%2Crwis …",,"{'Highway 61', 'Kellogg'}","{'Highway 61', 'Kellogg', 'Highway 42'}","{'Highway 61', 'Kellogg', 'Highway 42'}","{'Highway 61', 'Kellogg', 'Highway 42'}","{'Highway 61', 'Kellogg', 'Highway 42'}","{'Highway 61', 'Kellogg', 'Highway 42'}"
77,77,77,77,77,77,77,77,Hwy 74 is closed from Beaver to Weaver because of flooding. It's the only #MnDOT gravel road. Area is in Winona and Wabasha counties,Highway 74 is closed from Beaver to Weaver because of flooding. It's the only gravel road. Area is at Winona and Wabasha counties,At Highway 74 is closed from Beaver to Weaver because of flooding. It's the only gravel road. Area is at Winona and Wabasha counties,At Highway 74 is closed from Beaver to Weaver because of flooding. It's the only gravel road. Area is at Winona and Wabasha counties,At Highway 74 is closed from Beaver to Weaver because of flooding. It's the only #MnDOT gravel road. Area is at Winona and Wabasha counties,At Highway 74 is closed from Beaver to Weaver because of flooding. It's the only gravel road. Area is at Winona and Wabasha counties,"{'Winona', 'Weaver', 'Area'}","{'Winona', 'Weaver', 'Area'}","{'Highway 74', 'Winona', 'Weaver', 'Area'}","{'Highway 74', 'Winona', 'Weaver', 'Area'}","{'Highway 74', 'Winona', 'Weaver', 'Area'}","{'Highway 74', 'Winona', 'Weaver', 'Area'}","{'Highway 74', 'Weaver', 'Winona', 'Area'}"
78,78,78,78,78,78,78,78,"Motorists be alert, Highway 74 from Beaver to Weaver closed due to high water. Check http:// 511mn.org for current road conditions","Motorists be alert, Highway 74 from Beaver to Weaver closed due to high water. Check http:// 511mn.org for current road conditions","At Motorists be alert, Highway 74 from Beaver to Weaver closed due to high water. Check http:// 511mn.org for current road conditions","At Motorists be alert, Highway 74 from Beaver to Weaver closed due to high water. Check http:// 511mn.org for current road conditions","At Motorists be alert, Highway 74 from Beaver to Weaver closed due to high water. Check http:// 511mn.org for current road conditions","At Motorists be alert, Highway 74 from Beaver to Weaver closed due to high water. Check http:// 511mn.org for current road conditions",{'Weaver'},{'Weaver'},{'Weaver'},{'Weaver'},{'Weaver'},{'Weaver'},{'Weaver'}
79,79,79,79,79,79,79,79,"Hwy 14 at Winona County Road 29 is temporarily closed, detoured in Lewiston. Power line pole on road after crash. Crews working to remove","Highway 14 at Winona County Road 29 is temporarily closed, detoured at Lewiston. Power line pole on road after crash. Crews working to remove","At Highway 14 at Winona County Road 29 is temporarily closed, detoured at Lewiston. Power line pole on road after crash. Crews working to remove","At Highway 14 at Winona County Road 29 is temporarily closed, detoured at Lewiston. Power line pole on road after crash. Crews working to remove","At Highway 14 at Winona County Road 29 is temporarily closed, detoured at Lewiston. Power line pole on road after crash. Crews working to remove","At Highway 14 at Winona County Road 29 is temporarily closed, detoured at Lewiston. Power line pole on road after crash. Crews working to remove","{'Lewiston', 'Winona County Road 29'}","{'Lewiston', 'Winona County Road 29'}","{'Lewiston', 'Winona County Road 29', 'Highway 14'}","{'Lewiston', 'Winona County Road 29', 'Highway 14'}","{'Lewiston', 'Winona County Road 29', 'Highway 14'}","{'Lewiston', 'Winona County Road 29', 'Highway 14'}","{'Highway 14', 'Lewiston', 'Winona County Road 29'}"
80,80,80,80,80,80,80,80,Hwy 63 update: Detour at Goodhue Co. roads 2 & 33 south of Lake City. Hwy 63 expected to be closed several hours due to injury crash #MnDOT,Highway 63 update: Detour at Goodhue Co. roads 2 & 33 south of Lake City. Highway 63 expected to be closed several hours due to injury crash ,At Highway 63 update: Detour at Goodhue Co. roads 2 & 33 south of Lake City. Highway 63 expected to be closed several hours due to injury crash ,At Highway 63 update: Detour at Goodhue Co. roads 2 & 33 south of Lake City. Highway 63 expected to be closed several hours due to injury crash ,At Highway 63 update: Detour at Goodhue Co. roads 2 & 33 south of Lake City. Highway 63 expected to be closed several hours due to injury crash #MnDOT,At Highway 63 update: Detour at Goodhue Co. roads 2 & 33 south of Lake City. Highway 63 expected to be closed several hours due to injury crash ,{'Lake City'},{'Lake City'},{'Lake City'},{'Lake City'},{'Lake City'},{'Lake City'},{'Lake City'}
81,81,81,81,81,81,81,81,Hwy 74 is temporarily closed in northern Winona County because of water over the roadway. Will reopen after recedes. pic.twitter.com/8WBp1uzlBD,Highway 74 is temporarily closed at northern Winona County because of water over the roadway. Will reopen after recedes. pic.twitter.com/8WBp1uzlBD,At Highway 74 is temporarily closed at northern Winona County because of water over the roadway. Will reopen after recedes. pic.twitter.com/8WBp1uzlBD,At Highway 74 is temporarily closed at northern Winona County because of water over the roadway. Will reopen after recedes. pic.twitter.com/8WBp1uzlBD,At Highway 74 is temporarily closed at northern Winona County because of water over the roadway. Will reopen after recedes. pic.twitter.com/8WBp1uzlBD,At Highway 74 is temporarily closed at northern Winona County because of water over the roadway. Will reopen after recedes. pic.twitter.com/8WBp1uzlBD,{'Winona County'},{'Winona County'},"{'Highway 74', 'Winona County'}","{'Highway 74', 'Winona County'}","{'Highway 74', 'Winona County'}","{'Highway 74', 'Winona County'}","{'Highway 74', 'Winona County'}"
82,82,82,82,82,82,82,82,Hwy 74 north of Elba from Beaver to Weaver remains closed. Water over roadway. Flood damage to gravel highway. Winona and Wabasha counties,Highway 74 north of Elba from Beaver to Weaver remains closed. Water over roadway. Flood damage to gravel highway. Winona and Wabasha counties,At Highway 74 north of Elba from Beaver to Weaver remains closed. Water over roadway. Flood damage to gravel highway. Winona and Wabasha counties,At Highway 74 north of Elba from Beaver to Weaver remains closed. Water over roadway. Flood damage to gravel highway. Winona and Wabasha counties,At Highway 74 north of Elba from Beaver to Weaver remains closed. Water over roadway. Flood damage to gravel highway. Winona and Wabasha counties,At Highway 74 north of Elba from Beaver to Weaver remains closed. Water over roadway. Flood damage to gravel highway. Winona and Wabasha counties,{'Elba'},{'Elba'},"{'Highway 74', 'Elba'}","{'Highway 74', 'Elba'}","{'Highway 74', 'Elba'}","{'Highway 74', 'Elba'}","{'Highway 74', 'Elba'}"
83,83,83,83,83,83,83,83,Hwy 74 between Beaver and Weaver is temporarily closed because of rain. Highway is only #MnDOT gravel road in state.,Highway 74 at Beaver and Weaver is temporarily closed because of rain. Highway is only gravel road at state.,At Highway 74 Beaver and Weaver is temporarily closed because of rain. Highway is only gravel road at state.,At Highway 74 Beaver and Weaver is temporarily closed because of rain. Highway is only gravel road at state.,At Highway 74 Beaver and Weaver is temporarily closed because of rain. Highway is only #MnDOT gravel road at state.,At Highway 74 at Beaver and Weaver is temporarily closed because of rain. Highway is only gravel road at state.,,,,,,{'Highway 74'},{'Highway 74'}
84,84,84,84,84,84,84,84,Hwy 52 northbound is closed and detoured at Goodhue County Road 8 for a jackknifed semi truck. Detour is east on CR8 to west CR9. #rochmn,Highway 52 northbound is closed and detoured at Goodhue County Road 8 for a jackknifed semi truck. Detour is east on CR8 to west CR9. ,At Highway 52 northbound is closed and detoured at Goodhue County Road 8 for a jackknifed semi truck. Detour is east on CR8 to west CR9. ,At Highway 52 Northbound is closed and detoured at Goodhue County Road 8 for a jackknifed semi truck. Detour is east on CR8 to west CR9. ,At Highway 52 Northbound is closed and detoured at Goodhue County Road 8 for a jackknifed semi truck. Detour is east on CR8 to west CR9. #rochmn,At Highway 52 northbound is closed and detoured at Goodhue County Road 8 for a jackknifed semi truck. Detour is east on CR8 to west CR9. ,{'Goodhue County Road 8'},{'Goodhue County Road 8'},"{'Highway 52', 'Goodhue County Road 8'}","{'Highway 52', 'Goodhue County Road 8'}","{'Highway 52', 'Goodhue County Road 8'}","{'Highway 52', 'Goodhue County Road 8'}","{'Highway 52', 'Goodhue County Road 8'}"
85,85,85,85,85,85,85,85,Closed in left lanes. The adjacent Dakota County Road 47 is closed in both directions.Cleanup is continuing. Thanks for checking!,Closed at left lanes. The adjacent Dakota County Road 47 is closed at both directions.Cleanup is continuing. Thanks for checking!,At Closed at left lanes. The adjacent Dakota County Road 47 is closed at both directions.Cleanup is continuing. Thanks for checking!,At Closed at left lanes. The adjacent Dakota County Road 47 is closed at both directions.Cleanup is continuing. Thanks for checking!,At Closed at left lanes. The adjacent Dakota County Road 47 is closed at both directions.Cleanup is continuing. Thanks for checking!,At Closed at left lanes. The adjacent Dakota County Road 47 is closed at both directions.Cleanup is continuing. Thanks for checking!,{'Dakota County Road 47'},{'Dakota County Road 47'},{'Dakota County Road 47'},{'Dakota County Road 47'},{'Dakota County Road 47'},{'Dakota County Road 47'},{'Dakota County Road 47'}
86,86,86,86,86,86,86,86,Hwy 52 between Hampton and Coates remains closed for tanker truck cleanup after crash. #rochmn http:// hb.511mn.org/#roadReports/e ventAlbum/CARS4-6610?timeFrame=TODAY&layers=allReports%2CroadReports%2CwinterDriving%2CvoxReports%2CweatherWarnings%2Cflooding …,Highway 52 at Hampton and Coates remains closed for tanker truck cleanup after crash. http:// hb.511mn.org/#roadReports/e ventAlbum/CARS4-6610?timeFrame=TODAY&layers=allReports%2CroadReports%2CwinterDriving%2CvoxReports%2CweatherWarnings%2Cflooding …,At Highway 52 Hampton and Coates remains closed for tanker truck cleanup after crash. http:// hb.511mn.org/#roadReports/e ventAlbum/CARS4-6610?timeFrame=TODAY&layers=allReports%2CroadReports%2CwinterDriving%2CvoxReports%2CweatherWarnings%2Cflooding …,At Highway 52 Hampton and Coates remains closed for tanker truck cleanup after crash. http:// hb.511mn.org/#roadReports/e ventAlbum/CARS4-6610?timeFrame=TODAY&layers=allReports%2CroadReports%2CwinterDriving%2CvoxReports%2CweatherWarnings%2Cflooding …,At Highway 52 Hampton and Coates remains closed for tanker truck cleanup after crash. #rochmn http:// hb.511mn.org/#roadReports/e ventAlbum/CARS4-6610?timeFrame=TODAY&layers=allReports%2CroadReports%2CwinterDriving%2CvoxReports%2CweatherWarnings%2Cflooding …,At Highway 52 at Hampton and Coates remains closed for tanker truck cleanup after crash. http:// hb.511mn.org/#roadReports/e ventAlbum/CARS4-6610?timeFrame=TODAY&layers=allReports%2CroadReports%2CwinterDriving%2CvoxReports%2CweatherWarnings%2Cflooding …,,,,,,"{'Highway 52', 'Hampton'}","{'Highway 52', 'Hampton'}"
