,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,text,modified_text_A,modified_text_B,modified_text_C,modified_text_D,modified_text_E,location_original,location_A,location_B,location_C,location_D,location_E,all_locations
10,10,10,10,10,10,10,10,"Hwy 95 closed west of #PrincetonMN , near Hwy 47. Semi has been uprighted, road is still closed. #MilleLacsCounty","Highway 95 closed west of , near Highway 47. Semi has been uprighted, road is still closed. ","At Highway 95 closed west of , near Highway 47. Semi has been uprighted, road is still closed. ","At Highway 95 closed west of , near Highway 47. Semi has been uprighted, road is still closed. ","At Highway 95 closed west of #PrincetonMN , near Highway 47. Semi has been uprighted, road is still closed. #MilleLacsCounty","At Highway 95 closed west of , near Highway 47. Semi has been uprighted, road is still closed. ",,{'Highway 47'},{'Highway 47'},{'Highway 47'},{'Highway 47'},{'Highway 47'},{'Highway 47'}
11,11,11,11,11,11,11,11,"WB I-94 in Albertville, near MnROAD, could remain closed through rush hour. Check http:// 511mn.org RT @cityofstmichael #mntraffic","Westbound Interstate 94 at Albertville, near MnROAD, could remain closed through rush hour. Check http:// 511mn.org RT @cityofstmichael ","At Westbound Interstate 94 at Albertville, near MnROAD, could remain closed through rush hour. Check http:// 511mn.org RT @cityofstmichael ","At Westbound Interstate 94 at Albertville, near MnROAD, could remain closed through rush hour. Check http:// 511mn.org RT @cityofstmichael ","At Westbound Interstate 94 at Albertville, near MnROAD, could remain closed through rush hour. Check http:// 511mn.org RT @cityofstmichael #mntraffic","At Westbound Interstate 94 at Albertville, near MnROAD, could remain closed through rush hour. Check http:// 511mn.org RT @cityofstmichael ","{'Albertville', 'MnROAD'}","{'Albertville', 'Westbound Interstate 94', 'MnROAD'}","{'Albertville', 'Westbound Interstate 94', 'MnROAD'}","{'Albertville', 'Westbound Interstate 94', 'MnROAD'}","{'Albertville', 'Westbound Interstate 94', 'MnROAD'}","{'Albertville', 'Westbound Interstate 94', 'MnROAD'}","{'Westbound Interstate 94', 'MnROAD', 'Albertville'}"
12,12,12,12,12,12,12,12,"Hwy 10 closed at Halfway Crossing, west of Rice. Black ice is popping up on most roads in @StCloudMN area, especially on higher speed roads https:// twitter.com/MSPPIO_NW/stat us/818889113810194433 …","Highway 10 closed at Halfway Crossing, west of Rice. Black ice is popping up on most roads at @StCloudMN area, especially on higher speed roads https:// twitter.com/MSPPIO_NW/stat us/818889113810194433 …","At Highway 10 closed at Halfway Crossing, west of Rice. Black ice is popping up on most roads at @StCloudMN area, especially on higher speed roads https:// twitter.com/MSPPIO_NW/stat us/818889113810194433 …","At Highway 10 closed at Halfway Crossing, west of Rice. Black ice is popping up on most roads at @StCloudMN area, especially on higher speed roads https:// twitter.com/MSPPIO_NW/stat us/818889113810194433 …","At Highway 10 closed at Halfway Crossing, west of Rice. Black ice is popping up on most roads at @StCloudMN area, especially on higher speed roads https:// twitter.com/MSPPIO_NW/stat us/818889113810194433 …","At Highway 10 closed at Halfway Crossing, west of Rice. Black ice is popping up on most roads at @StCloudMN area, especially on higher speed roads https:// twitter.com/MSPPIO_NW/stat us/818889113810194433 …",{'Halfway Crossing'},{'Halfway Crossing'},{'Halfway Crossing'},{'Halfway Crossing'},{'Halfway Crossing'},{'Halfway Crossing'},{'Halfway Crossing'}
13,13,13,13,13,13,13,13,Hwy 24 #Clearwater - road is closed now while crews deliver first beam for new bridge. Reopen in 5 or so minutes. Stay tuned for updates. RT pic.twitter.com/xdLfgDl1Ea,Highway 24 - road is closed now while crews deliver first beam for new bridge. Reopen at 5 or so minutes. Stay tuned for updates. RT pic.twitter.com/xdLfgDl1Ea,At Highway 24 - road is closed now while crews deliver first beam for new bridge. Reopen at 5 or so minutes. Stay tuned for updates. RT pic.twitter.com/xdLfgDl1Ea,At Highway 24 - road is closed now while crews deliver first beam for new bridge. Reopen at 5 or so minutes. Stay tuned for updates. RT pic.twitter.com/xdLfgDl1Ea,At Highway 24 #Clearwater - road is closed now while crews deliver first beam for new bridge. Reopen at 5 or so minutes. Stay tuned for updates. RT pic.twitter.com/xdLfgDl1Ea,At Highway 24 - road is closed now while crews deliver first beam for new bridge. Reopen at 5 or so minutes. Stay tuned for updates. RT pic.twitter.com/xdLfgDl1Ea,,,{'Highway 24 - road'},{'Highway 24 - road'},,{'Highway 24 - road'},{'Highway 24 - road'}
14,14,14,14,14,14,14,14,WB I-94 at Sauk Centre closed due to crash. No travel recommended. See http://www. 511mn.org for current roads where travel not advised.,Westbound Interstate 94 at Sauk Centre closed due to crash. No travel recommended. See http://www. 511mn.org for current roads where travel not advised.,At Westbound Interstate 94 at Sauk Centre closed due to crash. No travel recommended. See http://www. 511mn.org for current roads where travel not advised.,At Westbound Interstate 94 at Sauk Centre closed due to crash. No travel recommended. See http://www. 511mn.org for current roads where travel not advised.,At Westbound Interstate 94 at Sauk Centre closed due to crash. No travel recommended. See http://www. 511mn.org for current roads where travel not advised.,At Westbound Interstate 94 at Sauk Centre closed due to crash. No travel recommended. See http://www. 511mn.org for current roads where travel not advised.,{'Sauk Centre'},"{'Sauk Centre', 'Westbound Interstate 94'}","{'Sauk Centre', 'Westbound Interstate 94'}","{'Sauk Centre', 'Westbound Interstate 94'}","{'Sauk Centre', 'Westbound Interstate 94'}","{'Sauk Centre', 'Westbound Interstate 94'}","{'Sauk Centre', 'Westbound Interstate 94'}"
15,15,15,15,15,15,15,15,"Check out @Kanabec_Sheriff facebook page for more info on which county and local roads are open, which are closed in #Kanabec County #flood","Check out @Kanabec_Sheriff facebook page for more info on which county and local roads are open, which are closed at County ","At Check out @Kanabec_Sheriff facebook page for more info on which county and local roads are open, which are closed at County ","At Check out @Kanabec_Sheriff facebook page for more info on which county and local roads are open, which are closed at County ","At Check out @Kanabec_Sheriff facebook page for more info on which county and local roads are open, which are closed at #Kanabec County #flood","At Check out @Kanabec_Sheriff facebook page for more info on which county and local roads are open, which are closed at County ",,,,,,,set()
16,16,16,16,16,16,16,16,"Ramps from Hwy 169 to NB Mille Lacs County Road 36 are closed. CR 36 closed north of Hwy 169, south of #Milaca . @millelacstimes","Ramps from Highway 169 to Nouthbound Mille Lacs County Road 36 are closed. CR 36 closed north of Highway 169, south of . @millelacstimes","At Ramps from Highway 169 to Nouthbound Mille Lacs County Road 36 are closed. CR 36 closed north of Highway 169, south of . @millelacstimes","At Ramps from Highway 169 to Nouthbound Mille Lacs County Road 36 are closed. CR 36 closed north of Highway 169, south of . @millelacstimes","At Ramps from Highway 169 to Nouthbound Mille Lacs County Road 36 are closed. CR 36 closed north of Highway 169, south of #Milaca . @millelacstimes","At Ramps from Highway 169 to Nouthbound Mille Lacs County Road 36 are closed. CR 36 closed north of Highway 169, south of . @millelacstimes",{'CR 36'},"{'CR', 'Highway 169'}","{'CR', 'Highway 169'}","{'CR', 'Highway 169'}","{'CR', 'Highway 169'}","{'CR', 'Highway 169'}","{'CR', 'Highway 169', 'CR 36'}"
17,17,17,17,17,17,17,17,"Hwy 47 at #IsantiCounty Road 8, north of #StFrancisMN , is closed due to a crash. Seek alternate routes. @isanticonews @IsantiCountyMN","Highway 47 at Road 8, north of , is closed due to a crash. Seek alternate routes. @isanticonews @IsantiCountyMN","At Highway 47 at Road 8, north of , is closed due to a crash. Seek alternate routes. @isanticonews @IsantiCountyMN","At Highway 47 at Road 8, north of , is closed due to a crash. Seek alternate routes. @isanticonews @IsantiCountyMN","At Highway 47 at #IsantiCounty Road 8, north of #StFrancisMN , is closed due to a crash. Seek alternate routes. @isanticonews @IsantiCountyMN","At Highway 47 at Road 8, north of , is closed due to a crash. Seek alternate routes. @isanticonews @IsantiCountyMN",{'IsantiCounty Road'},{'Road 8'},"{'Highway 47', 'Road 8'}","{'Highway 47', 'Road 8'}","{'Highway 47', '#IsantiCounty Road 8'}","{'Highway 47', 'Road 8'}","{'IsantiCounty Road', 'Highway 47', '#IsantiCounty Road 8', 'Road 8'}"
18,18,18,18,18,18,18,18,Hwy 13 is open again after being closed from New Richland to I-90 at Albert Lea because of numerous downed power lines. Check http://www. 511mn.org for updated road conditions,Highway 13 is open again after being closed from New Richland to Interstate 90 at Albert Lea because of numerous downed power lines. Check http://www. 511mn.org for updated road conditions,At Highway 13 is open again after being closed from New Richland to Interstate 90 at Albert Lea because of numerous downed power lines. Check http://www. 511mn.org for updated road conditions,At Highway 13 is open again after being closed from New Richland to Interstate 90 at Albert Lea because of numerous downed power lines. Check http://www. 511mn.org for updated road conditions,At Highway 13 is open again after being closed from New Richland to Interstate 90 at Albert Lea because of numerous downed power lines. Check http://www. 511mn.org for updated road conditions,At Highway 13 is open again after being closed from New Richland to Interstate 90 at Albert Lea because of numerous downed power lines. Check http://www. 511mn.org for updated road conditions,{'New Richland'},"{'Interstate 90', 'New Richland'}","{'Interstate 90', 'Highway 13'}","{'Interstate 90', 'Highway 13'}","{'Interstate 90', 'Highway 13'}","{'Interstate 90', 'Highway 13'}","{'Interstate 90', 'Highway 13', 'New Richland'}"
19,19,19,19,19,19,19,19,Road Closed: Highway 13 from I-90 to New Richland is closed due to downed power lines. #mndot #mnroads #AlbertLeaMN pic.twitter.com/2O5lDfw38a,Road Closed: Highway 13 from Interstate 90 to New Richland is closed due to downed power lines. pic.twitter.com/2O5lDfw38a,At Road Closed: Highway 13 from Interstate 90 to New Richland is closed due to downed power lines. pic.twitter.com/2O5lDfw38a,At Road Closed: Highway 13 from Interstate 90 to New Richland is closed due to downed power lines. pic.twitter.com/2O5lDfw38a,At Road Closed: Highway 13 from Interstate 90 to New Richland is closed due to downed power lines. #mndot #mnroads #AlbertLeaMN pic.twitter.com/2O5lDfw38a,At Road Closed: Highway 13 from Interstate 90 to New Richland is closed due to downed power lines. pic.twitter.com/2O5lDfw38a,,{'Interstate 90'},"{'Interstate 90', 'Road Closed'}","{'Interstate 90', 'Road Closed'}","{'Interstate 90', 'Road Closed'}","{'Interstate 90', 'Road Closed'}","{'Interstate 90', 'Road Closed'}"
